"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
542585,"Cisnero, José","R",437,116,"26.4",-2.257276953679396,5.425240274599543,-0.15955623392611673,4.382167948472816
542881,"Anderson, Tyler","L",797,137,"49.2",1.4089914916128976,6.225144291091594,-0.05393678041445847,4.531383027193026
542882,"Andriese, Matt","R",379,108,"41.0",-2.2187455227233426,5.74377308707124,-0.38789723925106145,4.152204359111418
543037,"Cole, Gerrit","R",685,147,"37.9",-1.6824894725724229,5.617211678832117,0.11500204379562043,4.219176267003982
543101,"DeSclafani, Anthony","R",362,113,"40.0",-1.4905879957490555,5.5469060773480665,0.12484789953424866,4.190886326459263
543135,"Eovaldi, Nathan","R",653,111,"35.9",-2.39921998297157,5.742419601837672,-0.44564842997111137,4.328438262445936
543243,"Gray, Sonny","R",661,113,"49.9",-1.1473729697221042,5.673328290468986,0.2646736384687626,3.997730192119311
543294,"Hendricks, Kyle","R",1045,112,"50.5",-1.3458786515783776,6.139033492822967,0.19539737450608777,4.26704036369896
543475,"Lyles, Jordan","R",442,140,"46.6",-1.4680576543883197,6.155429864253394,0.16818870515873977,4.426841841159489
543548,"Milone, Tommy","L",605,9999,"45.0",1.6117345810621746,6.0627933884297525,0.054058972632253524,4.5055542253539285
543699,"Roark, Tanner","R",481,141,"54.6",-1.2235522355845254,5.9602079002079,0.08921828803814098,4.108057786506683
543901,"Weber, Ryan","R",526,111,"16.1",-2.157121290913061,5.040380228136882,-0.1294275464976433,4.457849041438646
545333,"Bauer, Trevor","R",1158,113,"41.1",-1.720898851849174,5.642875647668394,-0.039567343921317936,4.174887151472518
547179,"Lorenzen, Michael","R",365,113,"42.2",-1.651468919685704,5.91468493150685,0.04569689342050643,4.37700384175152
547888,"Tanaka, Masahiro","R",640,147,"40.7",-1.6330084668549927,5.38084375,0.0790390786785595,3.9093781425870775
547943,"Ryu, Hyun Jin","L",553,141,"39.2",1.7781010631182634,5.795678119349005,0.06828859158882196,4.4013558597892555
548389,"Stripling, Ross","R",543,9999,"63.8",-0.8692582140815978,7.024751381215469,0.1754845098484731,4.9033893666240145
554430,"Wheeler, Zack","R",573,143,"37.9",-1.9695260067605267,5.673280977312391,-0.026273374908229195,4.16211140273617
570240,"Peña, Félix","R",390,108,"39.7",-1.798016384208728,5.890153846153846,0.02180280374445816,4.380585565882239
570488,"Valdez, Phillips","R",370,111,"11.7",-2.4472679687205345,4.491621621621622,-0.25191987863517645,4.03585798991046
571510,"Boyd, Matthew","L",1078,116,"29.6",2.354361623170359,5.7376623376623375,0.2235798312697275,4.529718500316006
571578,"Corbin, Patrick","L",641,120,"43.1",1.5258414805788254,6.404586583463338,-0.16152197933538043,4.824320394250205
571760,"Heaney, Andrew","L",802,108,"33.2",2.194285295170923,5.3266334164588525,0.27505608381405156,4.069814784815677
571927,"Matz, Steven","L",458,121,"35.8",1.8946499058725934,5.6420960698689955,-0.034813365286567186,4.249221251624905
572070,"Richards, Garrett","R",512,135,"43.1",-1.7106328176400025,5.759765625,0.04847829166312298,4.1125707164423835
572362,"Erlin, Robbie","L",387,9999,"47.5",1.5678206776954253,5.751343669250646,0.1239524527590576,4.17507401060389
572971,"Keuchel, Dallas","L",955,145,"49.1",1.4510266424102947,6.175371727748691,-0.06561436240445727,4.4252583918245545
579328,"Kikuchi, Yusei","L",570,136,"58.7",0.9515582092119814,5.832508771929825,-0.18855570418023668,3.961011242358347
592332,"Gausman, Kevin","R",782,137,"38.2",-1.9199030316134584,5.935562659846547,-0.014928032196806888,4.437794052412002
592351,"Gray, Jon","R",589,115,"32.9",-1.993264085094827,5.706281833616298,0.010066793573116854,4.411364177930163
592644,"Plutko, Adam","R",367,114,"45.2",-1.4817277511594376,6.043569482288828,0.14460057911101026,4.404581140313446
592662,"Ray, Robbie","L",736,9999,"44.1",1.5409313582109092,6.093247282608695,-0.06935664362450143,4.531694579852259
592826,"Velasquez, Vince","R",439,143,"44.4",-1.4471911937210562,5.72132118451025,0.23205732521601516,4.076280231630082
592836,"Walker, Taijuan","R",647,9999,"47.9",-1.588540957055956,6.488763523956723,-0.034907374215001445,4.771043224593863
592866,"Williams, Trevor","R",1007,134,"35.3",-1.9160692052083914,5.53454816285998,0.0001727778260351692,4.175724457599958
592879,"Wojciechowski, Asher","R",582,110,"37.3",-1.8548424307329354,5.655343642611684,-0.09845892665282295,4.3144619868791
593372,"Martinez, Carlos","R",397,138,"28.0",-2.244454468438798,5.380050377833753,-0.16866443524461536,4.275868435584733
593423,"Montas, Frankie","R",905,133,"49.8",-1.304604817915934,6.188872928176796,0.1967193922398693,4.413954288208176
594577,"Mayers, Mike","R",373,108,"38.6",-1.62834593735345,5.807667560321716,0.21865499658308363,4.335358778368769
594795,"Dayton, Grant","L",368,144,"40.1",1.6718389140761811,5.600570652173913,0.04660733542033416,4.231120628591357
594798,"deGrom, Jacob","R",891,121,"34.6",-1.9294908643835849,5.508967452300785,0.08078308757634775,4.1228443177206096
594835,"Gonzales, Marco","L",949,136,"46.5",1.3559828967797125,5.603308746048472,-0.07308831410263118,4.100273916106389
594965,"Ponce de Leon, Daniel","R",598,138,"48.0",-1.5115989366047815,6.630217391304348,0.09640978139347865,4.844765216990225
596057,"Norris, Daniel","L",458,116,"42.2",1.886773389574531,6.103515283842794,0.17845637127196054,4.553296112644393
596133,"Weaver, Luke","R",696,109,"52.3",-1.1319677673420558,5.6635201149425285,0.26096723284807655,3.8632063435142867
596295,"Gomber, Austin","L",438,138,"61.3",0.6258010693347665,6.754200913242009,-0.48926853616166266,4.723262993809396
605130,"Barlow, Scott","R",407,118,"35.5",-1.8048602712441661,5.394987714987715,0.07261985820461755,4.057163708672212
605135,"Bassitt, Chris","R",875,133,"43.7",-1.6215304903960708,5.6768914285714285,0.16892564990305214,3.9689043099979995
605164,"Bundy, Dylan","R",697,108,"51.0",-1.3032520025886114,6.108608321377331,0.07113021821347555,4.409241283791918
605182,"Clevinger, Mike","R",399,9999,"47.2",-1.536927712551629,5.775187969924812,0.02844347133989162,4.084851514886258
605200,"Davies, Zach","R",650,135,"39.2",-1.7422924487835707,5.5355384615384615,-0.12153862769093651,4.21329892452523
605242,"Fulmer, Michael","R",522,116,"39.4",-1.7148640458934257,6.1370689655172415,0.034994168218271296,4.697549084030381
605288,"Houser, Adrian","R",727,158,"45.2",-1.5003858700527284,6.093411279229711,0.19931540802984943,4.379318377724981
605359,"Marshall, Evan","R",375,145,"30.4",-2.0042782188190658,5.870186666666667,-0.04018873134368899,4.7177743706137
605397,"Musgrove, Joe","R",477,134,"33.1",-2.414065438211244,6.526352201257861,-0.2656608337167057,5.126298259292758
605400,"Nola, Aaron","R",805,143,"19.2",-2.2765336442415522,4.951900621118012,-0.14309697013983458,4.210320046421731
605483,"Snell, Blake","L",711,139,"53.8",1.1376504922010806,6.506666666666667,-0.24915300182846442,4.6150303256806176
605513,"Turnbull, Spencer","R",864,116,"27.0",-2.391168478374193,5.688043981481481,-0.19860724065615304,4.572571153432043
605525,"Wendelken, J.B.","R",366,133,"39.5",-1.806297778276687,5.800710382513661,-0.09578667923205049,4.391410868082951
605540,"Woodruff, Brandon","R",1111,158,"42.7",-1.5243864596311743,5.90992799279928,0.19482514225267064,4.323749848922631
607192,"Glasnow, Tyler","R",677,139,"55.6",-1.0211875456091852,6.103677991137371,0.33037155777578925,4.128854201375998
607200,"Fedde, Erick","R",663,120,"36.2",-1.65735366820627,5.824328808446455,0.2460417657520296,4.429043387681618
607391,"Mazza, Chris","R",465,111,"26.1",-2.183328050735176,5.414559139784946,-0.31960457662830527,4.502719770321471
607536,"Freeland, Kyle","L",437,115,"30.0",2.1248821786235217,5.67395881006865,0.09220640163752207,4.502605187364628
607560,"Harper, Ryne","R",371,120,"46.4",-1.326972768672735,6.142991913746631,0.1892217259352283,4.553428105706262
607625,"Lugo, Seth","R",403,121,"37.5",-1.9516081561021175,5.60151364764268,-0.007953868836334432,4.107542181203916
607644,"Means, John","L",504,110,"46.9",1.4287305723702493,6.482777777777778,-0.13984025483488852,4.807840869208163
608331,"Fried, Max","L",714,144,"52.3",1.305766469770922,5.9619607843137254,-0.215056103636196,3.995045392298185
608337,"Giolito, Lucas","R",1090,145,"57.9",-1.082210475567714,6.481266055045872,0.22449583559595648,4.401170843786723
608379,"Wacha, Michael","R",408,121,"44.8",-1.422261333215148,6.250171568627451,0.16553651642475173,4.677156578544965
608566,"Márquez, Germán","R",932,115,"37.4",-1.799724036822404,6.202886266094421,0.09405729035893522,4.756937222072061
608717,"Stratton, Chris","R",510,134,"40.7",-1.6064398152941435,5.906941176470588,0.15724953251153403,4.38748956195825
608718,"Suter, Brent","L",443,158,"50.1",1.4638146897941986,6.192641083521445,0.05480415669022586,4.5102355268174374
608723,"Voth, Austin","R",718,120,"38.3",-1.6558287483439176,5.738593314763231,0.0728886937435141,4.371613700167329
615698,"Quantrill, Cal","R",376,9999,"50.0",-1.1930397258819692,6.536781914893617,0.34423603415253917,4.708646497752873
621107,"Eflin, Zach","R",727,143,"31.1",-2.300920987665005,5.653755158184319,-0.22047608215366302,4.40042980647461
621111,"Buehler, Walker","R",525,119,"49.9",-1.3022527919736007,5.763561904761905,0.0997395937950938,4.101335160077667
621121,"McCullers Jr., Lance","R",721,117,"33.3",-2.1024956706608284,5.442829403606103,-0.22119571080086933,4.20714844810497
621219,"Mills, Alec","R",670,112,"32.3",-2.1646965602025734,5.7274328358208955,-0.22341992516860884,4.503175515750364
621242,"Díaz, Edwin","R",388,121,"21.4",-2.5767014571810916,4.97860824742268,-0.5167087955050811,4.1714844592452724
621244,"Berríos, José","R",890,142,"36.1",-2.123902192878038,5.429191011235955,-0.2561297928231303,4.0696774135644045
621345,"Minter, A.J.","L",365,144,"36.6",1.7643748336562837,5.440328767123288,0.04257365522672332,4.164536029854345
